Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Cost/Minute,Cost/PER,Cost/USG
121,Tobias Harris\harrito02,PF,23,TOT,76,2513,16.2,0.56,0.269,0.273,4.1,18.6,11.2,10.6,1.3,1.3,9.8,19.3,4.1,2.5,6.6,0.126,0.7,0.4,1,1.9,17200000,6844.409073,1061728.395,891191.7098
122,Jon Leuer\leuerjo01,PF,26,PHO,67,1255,16.2,0.555,0.236,0.217,6.4,26.3,16.1,9.6,1.5,2,12.8,19.8,1.4,1.3,2.7,0.103,-1.3,0.3,-1,0.3,10991957,8758.531474,678515.8642,555149.3434
123,Nerlens Noel\noelne01,C,21,PHI,67,1965,16.2,0.544,0.003,0.387,8.2,22.2,15,10.5,2.9,3.9,18.7,18.8,0.3,2.8,3,0.074,-2.7,3.4,0.7,1.3,4384490,2231.292621,270647.5309,233217.5532
124,Zaza Pachulia\pachuza01,C,31,DAL,76,2004,16.2,0.55,0.006,0.587,13.7,25.7,19.7,9.7,1.6,0.9,16.8,16.2,3.4,2.7,6,0.145,-0.8,2.2,1.4,1.7,2898000,1446.107784,178888.8889,178888.8889
125,Tony Parker\parketo01,PG,33,SAS,72,1980,16.2,0.546,0.092,0.241,1,8.8,5.1,29.1,1.4,0.4,14.3,21.2,2.9,2.9,5.8,0.142,0.4,-0.3,0.1,1,14445313,7295.612626,891685.9877,681382.6887
126,Chandler Parsons\parsoch01,SF,27,DAL,61,1799,16.2,0.589,0.386,0.209,1.8,15.6,8.7,16,1.3,1,11.8,20.5,2.6,1.6,4.3,0.114,1.6,0.3,1.9,1.8,22116750,12293.91329,1365231.481,1078865.854
127,Mirza Teletovic\teletmi01,PF,30,PHO,79,1686,16.2,0.571,0.592,0.199,3.5,16.3,9.7,9.1,0.9,1,9,23.4,2.9,0.9,3.8,0.109,2.3,-2.7,-0.5,0.7,10500000,6227.758007,648148.1481,448717.9487
128,Cody Zeller\zelleco01,C,23,CHO,73,1774,16.1,0.592,0.023,0.531,8.4,19.7,14,6.3,1.6,2.9,11.2,15.4,3.6,2.7,6.3,0.169,-1,2,1,1.3,5318313,2997.921646,330330,345345
129,Will Barton\bartowi01,SG,25,DEN,82,2353,16,0.535,0.331,0.273,2.7,20,11.2,14.4,1.5,1.3,11.2,23,2.4,1.9,4.3,0.088,0.3,-0.4,-0.1,1.1,3533333,1501.628984,220833.3125,153623.1739
130,Amir Johnson\johnsam01,PF,28,BOS,79,1800,16,0.602,0.101,0.284,10.3,19.6,14.9,11.4,1.4,3.6,16.4,13.6,3,2.9,5.9,0.158,-0.2,3.2,3,2.3,12000000,6666.666667,750000,882352.9412
131,Andrew Bogut\bogutan01,C,31,GSW,70,1451,15.9,0.623,0.004,0.179,9.5,26,18.3,14.8,1.1,5.8,21.6,11.4,2.6,2.9,5.4,0.18,-0.6,5.1,4.5,2.4,11027027,7599.6051,693523.7107,967283.0702
132,Darren Collison\collida01,PG,28,SAC,74,2219,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,1.8,-2.2,-0.4,0.9,5229454,2356.671474,328896.478,272367.3958
133,Richaun Holmes\holmeri01,PF,22,PHI,51,702,15.9,0.564,0.198,0.333,9.3,11.7,10.5,8,1.3,4.3,11.2,17.9,1,0.5,1.5,0.103,-1,0,-0.9,0.2,1025831,1461.297721,64517.67296,57308.99441
134,Jeremy Lamb\lambje01,SG,23,CHO,66,1227,15.9,0.529,0.355,0.173,3.9,18.7,11.2,10.9,1.7,2,8.4,22,1,1.8,2.7,0.107,-0.6,0.1,-0.5,0.4,6511628,5306.950285,409536.3522,295983.0909
135,James Michael McAdoo\mcadoja01,PF,23,GSW,41,262,15.9,0.554,0.024,0.583,13.1,10.9,11.9,9.2,1.8,2.2,13.2,20.1,0.5,0.3,0.8,0.146,-0.9,-0.3,-1.1,0.1,980431,3742.103053,61662.32704,48777.66169
136,Jusuf Nurkic\nurkiju01,C,21,DEN,32,547,15.9,0.46,0.012,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,-0.5,0.9,0.4,0.031,-4.1,2.8,-1.3,0.1,1921320,3512.468007,120837.7358,70636.76471
